"DISTRICT","2000 Pres.
 % Rep.","2000 Pres.  
% Dem.","2000 US 
Sen. % Rep.","2000 US Sen.
 % Dem.","1997 Gov. 
% Rep.","1997 Gov.
 % Dem.","1997 Lt.
 Gov. % Rep.","1997 Lt. Gov. 
% Dem.","1996 Pres. 
% Rep.","1996 Pres.
 % Dem.","1996 US 
Sen. % Rep.","1996 US Sen. 
% Dem."
1,54%,45%,57%,43%,62%,38%,58%,42%,40%,49%,39%,61%
2,48%,50%,51%,49%,51%,49%,49%,51%,36%,53%,36%,64%
3,44%,54%,46%,54%,51%,49%,46%,54%,32%,59%,36%,64%
4,60%,39%,62%,38%,61%,39%,59%,41%,50%,39%,48%,52%
5,57%,42%,59%,41%,59%,41%,56%,44%,43%,45%,44%,56%
6,64%,35%,64%,36%,65%,35%,56%,44%,49%,39%,48%,52%
7,55%,43%,55%,45%,58%,42%,54%,46%,43%,46%,46%,54%
8,61%,37%,59%,41%,63%,37%,55%,45%,52%,39%,55%,45%
9,61%,37%,63%,37%,63%,37%,46%,54%,48%,41%,52%,48%
10,63%,35%,63%,37%,62%,38%,45%,55%,50%,38%,52%,48%
11,57%,42%,58%,42%,57%,43%,40%,60%,46%,43%,49%,51%
12,48%,46%,48%,52%,50%,50%,45%,55%,40%,48%,48%,52%
13,59%,39%,59%,41%,66%,34%,64%,36%,55%,38%,58%,42%
14,63%,36%,62%,38%,65%,35%,56%,44%,51%,39%,53%,47%
15,65%,33%,67%,33%,68%,32%,67%,33%,55%,35%,56%,44%
16,49%,49%,48%,52%,51%,49%,45%,55%,45%,49%,51%,49%
17,47%,52%,49%,51%,56%,44%,49%,51%,40%,52%,42%,58%
18,58%,39%,58%,42%,59%,41%,54%,46%,45%,44%,50%,50%
19,63%,35%,64%,36%,65%,35%,54%,46%,50%,39%,55%,45%
20,55%,42%,55%,45%,63%,37%,46%,54%,52%,42%,54%,46%
21,52%,47%,51%,49%,60%,40%,59%,41%,46%,46%,52%,48%
22,64%,34%,64%,36%,67%,33%,51%,49%,55%,36%,57%,43%
23,51%,47%,51%,49%,54%,46%,42%,58%,46%,49%,49%,51%
24,62%,36%,61%,39%,64%,36%,59%,41%,54%,36%,57%,43%
25,68%,30%,67%,33%,71%,29%,70%,30%,60%,30%,62%,38%
26,67%,29%,67%,33%,69%,31%,70%,30%,60%,31%,62%,38%
27,54%,45%,55%,45%,65%,35%,62%,38%,54%,38%,52%,48%
28,61%,37%,59%,41%,61%,39%,56%,44%,54%,38%,54%,46%
29,63%,35%,64%,36%,67%,33%,67%,33%,56%,35%,60%,40%
30,60%,37%,61%,39%,65%,35%,59%,41%,52%,38%,58%,42%
31,60%,37%,61%,39%,64%,36%,62%,38%,55%,37%,59%,41%
32,55%,42%,57%,43%,62%,38%,60%,40%,53%,41%,58%,42%
33,57%,40%,56%,44%,57%,43%,57%,43%,52%,41%,60%,40%
34,53%,43%,51%,49%,56%,44%,54%,46%,54%,41%,64%,36%
35,51%,45%,50%,50%,53%,47%,52%,48%,51%,44%,61%,39%
36,44%,52%,43%,57%,45%,55%,44%,56%,43%,51%,54%,46%
