"DISTRICT","2000 Pres.
 % Rep.","2000
 Pres. 
% Dem.","2000
 US Sen. 
% Rep.","2000 
US Sen.
 % Dem.","1997 Gov.
 % Rep.","1997
 Gov.
 % Dem.","1997
 Lt. Gov. 
% Rep.","1997 
Lt. Gov.
 % Dem.","1996 
Pres.
 % Rep.","1996 
Pres.
 % Dem.","1996 
US Sen.
 % Rep.","1996 
US Sen.
 % Dem."
88,62%,36%,62%,38%,66%,34%,62%,38%,56%,36%,54%,46%
89,27%,72%,27%,73%,32%,68%,29%,71%,23%,72%,35%,65%
90,32%,68%,33%,67%,41%,59%,39%,61%,27%,67%,36%,64%
91,63%,36%,58%,42%,65%,35%,62%,38%,55%,36%,64%,36%
92,29%,70%,29%,71%,36%,64%,37%,63%,27%,67%,36%,64%
93,51%,48%,49%,51%,60%,40%,59%,41%,47%,46%,55%,45%
94,57%,42%,53%,47%,61%,39%,58%,42%,53%,40%,63%,37%
95,31%,68%,32%,68%,40%,60%,38%,62%,28%,66%,38%,62%
96,60%,37%,56%,44%,61%,39%,59%,41%,53%,39%,60%,40%
97,63%,36%,62%,38%,64%,36%,59%,41%,54%,37%,52%,48%
98,61%,37%,59%,41%,61%,39%,58%,42%,49%,41%,55%,45%
99,59%,40%,58%,42%,61%,39%,57%,43%,50%,42%,54%,46%
100,52%,46%,49%,51%,58%,42%,57%,43%,41%,48%,51%,49%
