"DISTRICT","TOTALPOP","WHITE","% White","BLACK","% Black","AMIND","% AmInd","ASIAN","% Asian","HAWPI","OTHER","MULTI","HISP","% Hispanic"
1,643501,486193,75.6%,125488,19.5%,4652,0.7%,13884,2.2%,673,8993,3618,19944,3.1%
2,643506,439231,68.3%,151874,23.6%,4717,0.7%,29712,4.6%,831,12280,4861,25765,4%
3,643492,257167,40%,353702,55%,4561,0.7%,11119,1.7%,656,10964,5323,19786,3.1%
4,643520,386699,60.1%,238516,37.1%,3589,0.6%,7567,1.2%,421,4277,2451,9646,1.5%
5,643522,471853,73.3%,155974,24.2%,2284,0.4%,7244,1.1%,182,4410,1575,10011,1.6%
6,643499,550162,85.5%,72848,11.3%,2942,0.5%,9164,1.4%,246,6506,1631,13257,2.1%
7,643485,526441,81.8%,86031,13.4%,3500,0.5%,16975,2.6%,281,7912,2345,14812,2.3%
8,643503,415348,64.5%,90552,14.1%,3445,0.5%,66626,10.4%,700,59367,7465,105467,16.4%
9,643475,608401,94.5%,24556,3.8%,2705,0.4%,3585,0.6%,156,3294,778,6784,1.1%
10,643503,518830,80.6%,46610,7.2%,3115,0.5%,46668,7.3%,476,24627,3177,45747,7.1%
11,643509,459785,71.4%,68679,10.7%,3333,0.5%,76308,11.9%,871,29407,5126,58321,9.1%
