"DISTRICT","2000 Pres. 
% Rep.","2000 Pres. % Dem.","2000 US 
Sen. % Rep.","2000 US 
Sen. % Dem.","1997 Gov.
 % Rep.","1997 Gov. 
% Dem.","1996 Pres.
 % Rep.","1996 Pres.
 % Dem.","1996 Sen. 
% Rep.","1996 Sen.
 % Dem."
1,55%,43%,52%,48%,61%,39%,51%,42%,60%,40%
2,35%,64%,35%,65%,43%,57%,32%,62%,41%,59%
3,59%,39%,54%,46%,61%,39%,50%,41%,58%,42%
4,64%,35%,62%,38%,65%,35%,55%,37%,57%,43%
5,31%,67%,30%,70%,36%,64%,27%,68%,38%,62%
6,53%,45%,50%,50%,57%,43%,48%,44%,58%,42%
7,54%,45%,52%,48%,61%,39%,49%,43%,56%,44%
8,59%,39%,57%,43%,62%,38%,52%,40%,58%,42%
9,27%,70%,28%,72%,33%,67%,27%,68%,30%,70%
10,65%,33%,62%,38%,67%,33%,63%,32%,62%,38%
11,63%,36%,62%,38%,70%,30%,60%,33%,57%,43%
12,64%,34%,62%,38%,66%,34%,60%,33%,59%,41%
13,53%,47%,52%,48%,56%,44%,43%,48%,47%,53%
14,56%,43%,54%,46%,61%,39%,48%,45%,54%,46%
15,56%,42%,57%,43%,59%,41%,48%,44%,51%,49%
16,36%,63%,37%,63%,43%,57%,33%,61%,34%,66%
17,56%,42%,55%,45%,57%,43%,49%,43%,52%,48%
18,40%,60%,38%,62%,45%,55%,33%,60%,43%,57%
19,59%,39%,59%,41%,64%,36%,51%,41%,53%,47%
20,59%,39%,61%,39%,59%,41%,47%,42%,50%,50%
21,53%,46%,52%,48%,57%,43%,46%,46%,50%,50%
22,61%,37%,61%,39%,63%,37%,49%,41%,52%,48%
23,60%,38%,60%,40%,62%,38%,52%,40%,55%,45%
24,64%,33%,64%,36%,66%,34%,56%,34%,58%,42%
25,48%,46%,48%,52%,54%,46%,46%,48%,53%,47%
26,65%,32%,65%,35%,69%,31%,58%,33%,61%,39%
27,59%,38%,60%,40%,62%,38%,54%,38%,59%,41%
28,52%,45%,53%,47%,62%,38%,49%,43%,51%,49%
29,55%,42%,57%,43%,65%,35%,52%,40%,55%,45%
30,37%,59%,36%,64%,42%,58%,37%,59%,48%,52%
31,34%,61%,33%,67%,37%,63%,34%,61%,47%,53%
32,48%,48%,46%,54%,49%,51%,48%,47%,59%,41%
33,54%,43%,55%,45%,60%,40%,52%,42%,58%,42%
34,44%,52%,43%,57%,47%,53%,44%,51%,54%,46%
35,51%,46%,49%,51%,55%,45%,50%,45%,59%,41%
36,44%,53%,44%,56%,52%,48%,44%,51%,52%,48%
37,56%,41%,55%,45%,60%,40%,55%,40%,61%,39%
38,53%,45%,55%,45%,57%,43%,40%,49%,42%,58%
39,55%,42%,55%,45%,57%,43%,44%,45%,48%,52%
40,55%,43%,58%,42%,59%,41%,43%,46%,42%,58%
