"DISTRICT","2000 Pres.
 % Rep.","2000 Pres. 
% Dem.","2000 US 
Sen. % Rep.","2000 US 
Sen. % Dem.","1997 Gov.
 % Rep.","1997 Gov.
 % Dem.","1997 Lt. 
Gov. % Rep.","1997 Lt. 
Gov. % Dem.","1996 Pres.
 % Rep.","1996 Pres. 
% Dem.","1996 US 
Sen. % Rep.","1996 US 
Sen. % Dem."
1,53%,45%,57%,43%,60%,40%,57%,43%,39%,49%,39%,61%
2,47%,51%,50%,50%,51%,49%,49%,51%,36%,53%,36%,64%
3,48%,50%,50%,50%,54%,46%,49%,51%,34%,55%,38%,62%
4,60%,39%,62%,38%,61%,39%,59%,41%,50%,39%,48%,52%
5,61%,37%,63%,37%,63%,37%,57%,43%,46%,41%,46%,54%
6,63%,35%,63%,37%,65%,35%,56%,44%,50%,39%,49%,51%
7,55%,42%,56%,44%,58%,42%,53%,47%,42%,45%,45%,55%
8,60%,38%,59%,41%,63%,37%,55%,45%,53%,39%,55%,45%
9,63%,36%,63%,37%,65%,35%,47%,53%,50%,40%,54%,46%
10,60%,38%,61%,39%,58%,42%,39%,61%,45%,42%,49%,51%
11,57%,41%,58%,42%,58%,42%,42%,58%,48%,42%,50%,50%
12,50%,45%,49%,51%,52%,48%,47%,53%,42%,46%,49%,51%
13,60%,38%,61%,39%,67%,33%,65%,35%,55%,38%,58%,42%
14,55%,44%,56%,44%,61%,39%,53%,47%,46%,45%,48%,52%
15,68%,30%,69%,31%,71%,29%,70%,30%,57%,33%,58%,42%
16,44%,54%,44%,56%,48%,52%,42%,58%,39%,54%,46%,54%
17,54%,44%,55%,45%,64%,36%,61%,39%,52%,41%,55%,45%
18,55%,42%,56%,44%,58%,42%,51%,49%,41%,48%,47%,53%
19,63%,35%,63%,37%,65%,35%,55%,45%,50%,39%,54%,46%
20,56%,41%,57%,43%,63%,37%,47%,53%,53%,41%,54%,46%
21,52%,47%,51%,49%,61%,39%,60%,40%,47%,45%,53%,47%
22,63%,35%,62%,38%,66%,34%,52%,48%,58%,35%,59%,41%
23,56%,41%,54%,46%,60%,40%,59%,41%,54%,41%,61%,39%
24,57%,42%,56%,44%,56%,44%,42%,58%,47%,46%,50%,50%
25,63%,34%,62%,38%,67%,33%,67%,33%,56%,33%,60%,40%
26,66%,29%,65%,35%,68%,32%,70%,30%,61%,31%,63%,37%
27,58%,41%,58%,42%,68%,32%,64%,36%,56%,36%,53%,47%
28,57%,40%,55%,45%,56%,44%,51%,49%,51%,42%,54%,46%
29,63%,35%,64%,36%,67%,33%,67%,33%,56%,35%,60%,40%
30,60%,37%,61%,39%,64%,36%,60%,40%,53%,38%,57%,43%
31,59%,38%,59%,41%,62%,38%,60%,40%,53%,39%,59%,41%
32,56%,42%,56%,44%,61%,39%,59%,41%,55%,39%,62%,38%
33,57%,40%,58%,42%,59%,41%,58%,42%,52%,40%,60%,40%
34,50%,46%,47%,53%,51%,49%,49%,51%,51%,45%,62%,38%
35,49%,47%,48%,52%,52%,48%,51%,49%,49%,45%,59%,41%
36,45%,51%,45%,55%,47%,53%,45%,55%,43%,51%,53%,47%
37,51%,45%,50%,50%,55%,45%,54%,46%,51%,44%,59%,41%
38,40%,55%,39%,61%,42%,58%,41%,59%,41%,54%,52%,48%
39,46%,50%,46%,54%,52%,48%,50%,50%,46%,49%,57%,43%
40,57%,41%,58%,42%,63%,37%,61%,39%,53%,40%,58%,42%
41,52%,44%,51%,49%,56%,44%,54%,46%,51%,44%,61%,39%
42,50%,47%,50%,50%,57%,43%,56%,44%,50%,45%,58%,42%
43,45%,52%,45%,55%,54%,46%,51%,49%,45%,50%,52%,48%
44,41%,56%,40%,60%,49%,51%,47%,53%,41%,54%,50%,50%
45,36%,59%,35%,65%,37%,63%,37%,63%,36%,60%,48%,52%
46,34%,63%,34%,66%,41%,59%,39%,61%,33%,62%,44%,56%
47,35%,59%,34%,66%,37%,63%,36%,64%,36%,59%,49%,51%
48,34%,61%,34%,66%,37%,63%,36%,64%,34%,62%,46%,54%
49,33%,62%,34%,66%,40%,60%,38%,62%,34%,61%,45%,55%
50,54%,43%,56%,44%,63%,37%,62%,38%,52%,41%,55%,45%
51,51%,46%,51%,49%,62%,38%,60%,40%,50%,44%,55%,45%
52,44%,53%,46%,54%,61%,39%,58%,42%,43%,49%,46%,54%
53,47%,49%,46%,54%,50%,50%,48%,52%,46%,48%,57%,43%
54,55%,44%,54%,46%,55%,45%,49%,51%,47%,46%,49%,51%
55,68%,30%,67%,33%,70%,30%,66%,34%,63%,30%,60%,40%
56,57%,41%,58%,42%,60%,40%,53%,47%,48%,43%,50%,50%
57,39%,53%,37%,63%,45%,55%,35%,65%,40%,55%,48%,52%
58,54%,41%,53%,47%,60%,40%,50%,50%,52%,41%,57%,43%
59,54%,44%,54%,46%,54%,46%,39%,61%,44%,47%,47%,53%
60,56%,42%,56%,44%,64%,36%,48%,52%,49%,43%,53%,47%
61,57%,42%,57%,43%,60%,40%,47%,53%,47%,45%,49%,51%
62,61%,37%,62%,38%,68%,32%,64%,36%,56%,35%,54%,46%
63,36%,63%,39%,61%,44%,56%,40%,60%,32%,62%,35%,65%
64,56%,43%,54%,46%,57%,43%,54%,46%,45%,46%,51%,49%
65,67%,31%,66%,34%,70%,30%,67%,33%,63%,30%,60%,40%
66,69%,29%,68%,32%,73%,27%,68%,32%,65%,28%,61%,39%
67,56%,42%,56%,44%,60%,40%,59%,41%,54%,41%,59%,41%
68,48%,49%,46%,54%,52%,48%,52%,48%,47%,47%,49%,51%
69,37%,61%,38%,62%,46%,54%,45%,55%,39%,55%,42%,58%
70,33%,65%,34%,66%,40%,60%,38%,62%,31%,63%,33%,67%
71,30%,67%,30%,70%,34%,66%,34%,66%,29%,66%,33%,67%
72,68%,30%,64%,36%,69%,31%,67%,33%,66%,28%,66%,34%
73,64%,34%,62%,38%,67%,33%,65%,35%,62%,32%,62%,38%
74,34%,66%,35%,65%,41%,59%,38%,62%,32%,62%,33%,67%
75,45%,55%,45%,55%,50%,50%,47%,53%,36%,57%,43%,57%
76,61%,37%,61%,39%,65%,35%,62%,38%,55%,37%,54%,46%
