"DISTRICT","TOTALPOP","WHITE","% White","BLACK","% Black","AMIND","% AmInd","ASIAN","% Asian","HAWPI","OTHER","MULTI","HISP","% Hispanic"
1,69144,67806,98.1%,615,0.9%,366,0.5%,158,0.2%,16,124,59,381,0.6%
2,69917,67535,96.6%,1737,2.5%,234,0.3%,163,0.2%,13,200,35,476,0.7%
3,69754,67789,97.2%,1317,1.9%,227,0.3%,250,0.4%,9,121,41,351,0.5%
4,69839,67180,96.2%,1838,2.6%,305,0.4%,262,0.4%,20,179,55,503,0.7%
5,71025,67333,94.8%,2440,3.4%,312,0.4%,188,0.3%,11,692,49,1405,2%
6,72137,67718,93.9%,3315,4.6%,307,0.4%,377,0.5%,21,304,95,583,0.8%
7,70575,65106,92.3%,3428,4.9%,318,0.5%,1118,1.6%,32,416,157,784,1.1%
8,70024,65297,93.2%,2942,4.2%,237,0.3%,1103,1.6%,18,337,90,644,0.9%
9,71196,63187,88.8%,7073,9.9%,259,0.4%,230,0.3%,19,314,114,837,1.2%
10,72191,60082,83.2%,10521,14.6%,259,0.4%,168,0.2%,36,1022,103,1993,2.8%
11,71296,44002,61.7%,24857,34.9%,393,0.6%,799,1.1%,35,800,410,1139,1.6%
12,71248,63343,88.9%,3759,5.3%,297,0.4%,2907,4.1%,35,652,255,925,1.3%
13,69993,58203,83.2%,6229,8.9%,376,0.5%,2495,3.6%,62,2258,370,4351,6.2%
14,71021,42702,60.1%,27060,38.1%,216,0.3%,424,0.6%,16,447,156,1055,1.5%
15,69858,66813,95.6%,1500,2.1%,336,0.5%,264,0.4%,26,848,71,1564,2.2%
16,70269,51497,73.3%,17579,25%,212,0.3%,283,0.4%,5,587,106,1351,1.9%
17,70453,65619,93.1%,2853,4%,264,0.4%,1148,1.6%,17,435,117,760,1.1%
18,70610,64331,91.1%,4631,6.6%,398,0.6%,535,0.8%,39,563,113,1511,2.1%
19,71715,65790,91.7%,4930,6.9%,330,0.5%,382,0.5%,16,178,89,462,0.6%
20,71422,65187,91.3%,5055,7.1%,269,0.4%,314,0.4%,13,478,106,986,1.4%
21,71694,45119,62.9%,17263,24.1%,500,0.7%,6660,9.3%,108,1370,674,3215,4.5%
22,70192,60044,85.5%,8963,12.8%,311,0.4%,471,0.7%,14,263,126,602,0.9%
23,70383,46967,66.7%,21218,30.1%,360,0.5%,930,1.3%,34,548,326,933,1.3%
