"DISTRICT","2000 Pres. 
% Rep.","2000 Pres. 
% Dem.","2000 US 
Sen. % Rep.","2000 US 
Sen. % Dem.","1997 Gov. 
% Rep.","1997 Gov. 
% Dem.","1997 Lt. Gov. 
% Rep.","1997 Lt. Gov. 
% Dem.","1996 Pres. 
% Rep.","1996 Pres. 
% Dem.","1996 US 
Sen. % Rep.","1996 US 
Sen. % Dem.","USSEND96","USSENR96"
1,57%,42%,60%,40%,64%,36%,61%,39%,44%,45%,42%,58%,12167,8871
2,47%,51%,50%,50%,50%,50%,48%,52%,35%,54%,35%,65%,14141,7777
3,45%,53%,48%,52%,52%,48%,47%,53%,32%,58%,36%,64%,14168,7853
4,59%,40%,62%,38%,60%,40%,58%,42%,49%,41%,47%,53%,11552,10432
5,61%,38%,63%,37%,63%,37%,57%,43%,46%,41%,46%,54%,12091,10320
6,58%,40%,59%,41%,60%,40%,56%,44%,44%,43%,46%,54%,12926,11227
7,57%,40%,57%,43%,61%,39%,54%,46%,46%,42%,49%,51%,10258,9855
8,60%,38%,58%,42%,63%,37%,54%,46%,52%,40%,55%,45%,13586,16587
9,61%,37%,63%,37%,62%,38%,44%,56%,46%,41%,51%,49%,11247,11715
10,60%,39%,60%,40%,58%,42%,43%,57%,47%,41%,48%,52%,11553,10700
11,37%,61%,39%,61%,45%,55%,38%,62%,31%,62%,36%,64%,12699,7179
12,49%,46%,49%,51%,50%,50%,44%,56%,39%,50%,45%,55%,12931,10690
13,61%,37%,61%,39%,66%,34%,65%,35%,56%,37%,60%,40%,7423,11331
14,54%,43%,55%,45%,60%,40%,45%,55%,50%,43%,52%,48%,11739,12772
15,65%,33%,66%,34%,68%,32%,67%,33%,55%,35%,57%,43%,10298,13663
16,62%,36%,62%,38%,64%,36%,45%,55%,53%,38%,54%,46%,10397,12389
17,59%,39%,58%,42%,62%,38%,54%,46%,52%,40%,56%,44%,12631,15790
18,59%,38%,60%,40%,63%,37%,61%,39%,53%,38%,58%,42%,9131,12829
19,64%,34%,64%,36%,65%,35%,55%,45%,52%,38%,56%,44%,11170,13997
20,67%,30%,65%,35%,69%,31%,70%,30%,60%,31%,61%,39%,8504,13545
21,52%,46%,51%,49%,60%,40%,59%,41%,46%,46%,53%,47%,8681,9621
22,66%,33%,66%,34%,67%,33%,53%,47%,55%,36%,57%,43%,10536,13710
23,53%,45%,53%,47%,56%,44%,44%,56%,49%,46%,51%,49%,11667,12381
24,58%,39%,58%,42%,61%,39%,49%,51%,47%,43%,52%,48%,10599,11330
25,64%,33%,63%,37%,68%,32%,66%,34%,57%,33%,60%,40%,9196,13568
26,67%,28%,67%,33%,70%,30%,72%,28%,62%,31%,62%,38%,6189,10141
27,60%,39%,60%,40%,68%,32%,65%,35%,58%,35%,55%,45%,10126,12350
28,56%,41%,54%,46%,56%,44%,51%,49%,51%,42%,53%,47%,9844,11209
29,62%,35%,63%,37%,67%,33%,67%,33%,56%,35%,60%,40%,8109,11957
30,60%,37%,61%,39%,65%,35%,59%,41%,52%,39%,57%,43%,9079,12223
31,52%,45%,54%,46%,64%,36%,61%,39%,50%,42%,52%,48%,9327,10171
32,57%,41%,58%,42%,63%,37%,61%,39%,54%,39%,60%,40%,6844,10090
33,56%,41%,57%,43%,58%,42%,57%,43%,50%,42%,58%,42%,9207,12846
34,54%,42%,51%,49%,56%,44%,54%,46%,55%,41%,65%,35%,9901,18384
35,51%,45%,50%,50%,53%,47%,52%,48%,51%,44%,61%,39%,11167,17451
36,43%,53%,42%,58%,44%,56%,43%,57%,42%,53%,53%,47%,12805,14384
37,50%,46%,49%,51%,54%,46%,53%,47%,50%,45%,60%,40%,10300,15281
38,42%,54%,42%,58%,48%,52%,46%,54%,42%,52%,54%,46%,10175,11826
39,48%,49%,48%,52%,53%,47%,51%,49%,47%,48%,57%,43%,11058,14748
40,58%,40%,57%,43%,62%,38%,61%,39%,56%,39%,61%,39%,8972,13900
41,51%,45%,50%,50%,56%,44%,54%,46%,50%,45%,59%,41%,11132,16069
42,52%,46%,51%,49%,58%,42%,57%,43%,51%,44%,59%,41%,9262,13085
43,45%,53%,44%,56%,53%,47%,51%,49%,44%,51%,51%,49%,10505,11024
44,44%,53%,43%,57%,52%,48%,50%,50%,45%,50%,54%,46%,11459,13494
45,38%,58%,36%,64%,38%,62%,37%,63%,38%,58%,50%,50%,16161,15963
46,33%,63%,34%,66%,41%,59%,40%,60%,32%,63%,44%,56%,10755,8331
47,33%,61%,33%,67%,36%,64%,35%,65%,33%,62%,46%,54%,13750,11837
48,37%,57%,36%,64%,39%,61%,38%,62%,38%,57%,51%,49%,14544,15343
49,27%,69%,28%,72%,35%,65%,32%,68%,27%,68%,39%,61%,9633,6061
50,54%,43%,57%,43%,64%,36%,62%,38%,52%,40%,55%,45%,8211,10080
51,51%,47%,51%,49%,62%,38%,60%,40%,50%,44%,54%,46%,9084,10742
52,48%,50%,49%,51%,63%,37%,60%,40%,46%,46%,50%,50%,7324,7393
53,43%,52%,42%,58%,44%,56%,43%,57%,43%,52%,53%,47%,12595,14428
54,59%,40%,58%,42%,60%,40%,55%,45%,52%,41%,53%,47%,8786,9980
55,68%,30%,67%,33%,70%,30%,66%,34%,63%,29%,60%,40%,10377,15324
56,62%,36%,62%,38%,63%,37%,59%,41%,56%,37%,57%,43%,10699,13952
57,38%,53%,37%,63%,45%,55%,35%,65%,39%,55%,47%,53%,11544,10427
58,57%,39%,56%,44%,63%,37%,53%,47%,53%,40%,59%,41%,9578,13539
