"DISTRICT","TOTALPOP","WHITE","% White","BLACK","% Black","AMIND","% AmInd","ASIAN","% Asian","HAWPI","OTHER","MULTI","HISP","% Hispanic"
1,643514,490028,76.1%,122733,19.1%,4739,0.7%,13209,2.1%,633,8715,3457,19307,3%
2,643510,445476,69.2%,143398,22.3%,4903,0.8%,29955,4.7%,907,13781,5090,28061,4.4%
3,643474,246815,38.4%,367374,57.1%,4548,0.7%,10174,1.6%,617,8769,5177,16656,2.6%
4,643480,405561,63%,214988,33.4%,3692,0.6%,9843,1.5%,443,6400,2553,13037,2%
5,643504,469948,73%,157769,24.5%,2347,0.4%,7254,1.1%,186,4418,1582,10083,1.6%
6,643494,553000,85.9%,72386,11.2%,2967,0.5%,7149,1.1%,227,6203,1562,12852,2%
7,643498,509725,79.2%,105299,16.4%,3077,0.5%,16069,2.5%,258,6760,2310,12808,2%
8,643503,415348,64.5%,90552,14.1%,3445,0.5%,66626,10.4%,700,59367,7465,105467,16.4%
9,643517,605612,94.1%,25009,3.9%,2677,0.4%,5597,0.9%,175,3596,851,7200,1.1%
10,643512,518812,80.6%,46643,7.2%,3115,0.5%,46668,7.3%,476,24621,3177,45748,7.1%
11,643509,459785,71.4%,68679,10.7%,3333,0.5%,76308,11.9%,871,29407,5126,58321,9.1%
